"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U7";"TSOP-5_1.65x3.05mm_Pitch0.95mm";1;"74HC1G125";;;
2;"G***";"LOGO";1;"LOGO";;;
3;"REF**,REF**";"fiducial-1mm";2;"fiducial-1mm";;;
4;"C19,C2,C3,C13,C14,C17,C18,C20";"SM0603-C-MURATA";8;"0.1µ";;;
5;"C15";"C_0805";1;"1µ";;;
6;"C1";"SM0603-C-MURATA";1;"0.01µ";;;
7;"C4";"C_1206";1;"4.7µ";;;
8;"C5,C6";"C_1206";2;" 10µ";;;
9;"C7,C8,C9,C10";"C_1206";4;"22µF";;;
10;"C11,C23";"CP_Elec_4x5.3";2;"1μ";;;
11;"C12,C16";"SM0603-C-MURATA";2;"220p";;;
12;"CON1";"712A-DC-JACK";1;"BARREL_JACK";;;
13;"D1,D2,D3,D4";"SOD323-C1A2";4;"NSR0530HT1G";;;
14;"D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D18,D19,D20,D21";"SOD323-C1A2";16;"1N4148";;;
15;"D17";"SMB-1C2A";1;"MBRS240LT3G";;;
16;"ISP1";"vasch_strip_3x2";1;"CONN_02X03";;;
17;"J1";"PJ-301B-JACK-SLOTS";1;"RUN/STOP";;;
18;"J2";"PJ-301B-JACK-SLOTS";1;"SYNC24 CLK";;;
19;"J3";"PJ-301B-JACK-SLOTS";1;"ASSIGN 1";;;
20;"J4";"PJ-301B-JACK-SLOTS";1;"ASSIGN 2";;;
21;"J5";"PJ-301B-JACK-SLOTS";1;"BD IN";;;
22;"J6";"PJ-301B-JACK-SLOTS";1;"SD IN";;;
23;"J7";"PJ-301B-JACK-SLOTS";1;"LT IN";;;
24;"J8";"PJ-301B-JACK-SLOTS";1;"MT IN";;;
25;"J9";"PJ-301B-JACK-SLOTS";1;"HT IN";;;
26;"J10";"PJ-301B-JACK-SLOTS";1;"RS IN";;;
27;"J11";"PJ-301B-JACK-SLOTS";1;"CP IN";;;
28;"J12";"PJ-301B-JACK-SLOTS";1;"MA IN";;;
29;"J13";"PJ-301B-JACK-SLOTS";1;"CB IN";;;
30;"J14";"PJ-301B-JACK-SLOTS";1;"CY IN";;;
31;"J15";"PJ-301B-JACK-SLOTS";1;"OH IN";;;
32;"J16";"PJ-301B-JACK-SLOTS";1;"CH IN";;;
33;"J17";"PJ-301B-JACK-SLOTS";1;"IN 1";;;
34;"J18";"PJ-301B-JACK-SLOTS";1;"IN 2";;;
35;"J19";"PJ-301B-JACK-SLOTS";1;"IN 3";;;
36;"J20";"PJ-301B-JACK-SLOTS";1;"IN 4";;;
37;"J21";"PJ-301B-JACK-SLOTS";1;"MULT IN";;;
38;"J22";"PJ-301B-JACK-SLOTS";1;"SUM";;;
39;"L1";"SM0805-HAND";1;"12µH";;;
40;"L2,L3,L4";"SM0805-HAND";3;"10µH";;;
41;"P2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
42;"P4,P7";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"CONN_01X03";;;
43;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12";"SOT23-132-JRL";12;"MMBT3904";;;
44;"Q14";"SOT-23";1;"C945";;;
45;"Q15";"SOT-23";1;"A733";;;
46;"R1,R3";"SM0603-R-YAGEO";2;"220";;;
47;"R2";"SM0603-R-YAGEO";1;"22";;;
48;"R4,R5,R56";"SM0603-R-YAGEO";3;"1K";;;
49;"R6,R7,R8,R9,R10,R11,R12,R13,R18,R19,R20,R21,R22,R23,R24,R25,R30,R31,R32,R33,R34,R35,R36,R37,R43";"SM0603-R-YAGEO";25;"100K";;;
50;"R14,R15,R16,R17,R26,R27,R28,R29,R38,R39,R40,R41";"SM0603-R-YAGEO";12;"10K";;;
51;"R46,R47,R48,R49,R50,R52";"SM0603-R-YAGEO";6;"33K";;;
52;"R51,R58,R59";"SM0603-R-YAGEO";3;"22K";;;
53;"R54";"SM0603-R-YAGEO";1;"27K";;;
54;"R55";"SM0603-R-YAGEO";1;"3.3K";;;
55;"R57,R60";"SM0603-R-YAGEO";2;"68R";;;
56;"R61,R62";"R_0805";2;"180";;;
57;"R63,R64";"R_0805";2;"22R";;;
58;"TP2";"TEST_POINT_LOOP_4592";1;"CONN_1";;;
59;"U1,U2";"TSSOP-16_4.4x5mm_Pitch0.65mm";2;"74HC165";;;
60;"X1";"SD-50BV-5DIN-SLOTS";1;"MIDI OUT";;;
61;"X2";"SD-50BV-5DIN-SLOTS";1;"SYNC24";;;
62;"U4,U3";"CUI_VXO780XX-500";2;"VX078-500";;;
63;"P5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"CONN_01X04";;;
64;"R67";"R_0805";1;"120";;;
65;"R42,R44,R45";"SM0603-R-YAGEO";3;"47K";;;
66;"P3";"vasch_strip_8x2";1;"CONN_02X08";;;
67;"U5,U6";"TSSOP-8_4.4x3mm_Pitch0.65mm";2;"4558";;;
68;"P1";"vasch_strip_4x2";1;"CONN_02X03";;;
